Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
LVAD130_S1	35545369.0	150.0	31310003.0	88.08	150.56	12313729.0	12240089.0	12166399.0	124731.0	7237.0	15362.0	0.5	0.02	1.19	0.0	1.43	2420795.0	6.81	5339.0	0.02	0.0	5.06	0.03	0	1798569	10663
LVAD130_S1_	35022667.0	149.0	30929168.0	88.31	148.79	11851344.0	11780421.0	11707025.0	122954.0	6434.0	14931.0	0.49	0.02	1.19	0.0	1.42	3036364.0	8.67	21192.0	0.06	0.0	2.95	0.01	0	1032443	3500
LVAD132_S2	37981551.0	150.0	33268859.0	87.59	150.55	11677065.0	11612828.0	11556154.0	101864.0	6690.0	12357.0	0.45	0.02	1.18	0.0	1.4	2983785.0	7.86	5694.0	0.01	0.0	4.48	0.05	0	1704193	19020
LVAD132_S2_	37575466.0	149.0	32894319.0	87.54	149.52	11334785.0	11272905.0	11215454.0	101236.0	6024.0	12071.0	0.44	0.02	1.18	0.0	1.39	3587639.0	9.55	20800.0	0.06	0.0	2.85	0.01	0	1068957	3751
LVAD133_S3	39008988.0	150.0	34735926.0	89.05	150.53	12138383.0	12060643.0	12019222.0	97347.0	7024.0	14790.0	0.5	0.02	1.22	0.0	1.41	2653344.0	6.8	6853.0	0.02	0.0	4.1	0.03	0	1601149	11716
LVAD133_S3_	38644497.0	149.0	34206979.0	88.52	149.55	11752274.0	11678088.0	11634957.0	96441.0	6491.0	14385.0	0.49	0.02	1.22	0.0	1.38	3353598.0	8.68	44778.0	0.12	0.0	2.68	0.01	0	1035279	3863
LVAD140_S4	38132317.0	150.0	33757895.0	88.53	150.59	11860653.0	11791333.0	11723135.0	117438.0	6992.0	13088.0	0.47	0.02	1.19	0.0	1.36	2719102.0	7.13	5360.0	0.01	0.0	4.28	0.04	0	1634683	15277
LVAD140_S4_	37761620.0	149.0	33402267.0	88.46	148.86	11417744.0	11350886.0	11283127.0	115570.0	6343.0	12704.0	0.46	0.02	1.18	0.0	1.36	3322437.0	8.8	18489.0	0.05	0.0	2.69	0.01	0	1014655	3772
LVAD141_S5	25949402.0	150.0	23197548.0	89.4	150.59	8871302.0	8820321.0	8763701.0	92807.0	4984.0	9810.0	0.46	0.02	1.18	0.0	1.45	1760339.0	6.78	3650.0	0.01	0.0	3.72	0.08	0	967068	20797
LVAD141_S5_	25647336.0	150.0	22913792.0	89.34	149.69	8629309.0	8579755.0	8523004.0	92145.0	4587.0	9573.0	0.45	0.01	1.18	0.0	1.44	2139082.0	8.34	11426.0	0.04	0.0	2.27	0.01	0	580479	2557
LVAD142_S6	36205864.0	151.0	32311969.0	89.25	150.6	10743293.0	10672952.0	10632695.0	91682.0	6345.0	12571.0	0.43	0.02	1.19	0.0	1.4	2523756.0	6.97	6601.0	0.02	0.0	3.74	0.02	0	1356285	7253
LVAD142_S6_	35894657.0	149.0	31943360.0	88.99	149.65	10449660.0	10381452.0	10340852.0	90715.0	5712.0	12381.0	0.42	0.02	1.18	0.0	1.39	3064232.0	8.54	18675.0	0.05	0.0	2.41	0.01	0	864802	3588
LVAD153_S7	47883063.0	150.0	41817515.0	87.33	150.54	14468975.0	14379621.0	14293024.0	150357.0	8859.0	16735.0	0.51	0.02	1.18	0.0	1.38	4135945.0	8.64	7938.0	0.02	0.0	3.99	0.03	0	1907324	14341
LVAD153_S7_	47437726.0	149.0	41311901.0	87.09	149.55	14030749.0	13944538.0	13857006.0	149435.0	7955.0	16353.0	0.49	0.02	1.18	0.0	1.38	4902692.0	10.34	23519.0	0.05	0.0	2.52	0.01	0	1194872	4742
LVAD157_S8	34109800.0	150.0	29642425.0	86.9	150.53	11106847.0	11039217.0	10987506.0	98781.0	7160.0	13400.0	0.57	0.02	1.2	0.0	1.45	2959339.0	8.68	5897.0	0.02	0.0	4.37	0.04	0	1488514	13625
LVAD157_S8_	33781154.0	149.0	29217970.0	86.49	149.5	10764146.0	10698809.0	10646594.0	98003.0	6551.0	12998.0	0.56	0.02	1.19	0.0	1.44	3582158.0	10.6	20146.0	0.06	0.0	2.84	0.01	0	957508	3372
